,CAMIS,ZIPCODE,CUISINE DESCRIPTION,GRADE,ClosestWorkingTankDis,ClosestBadTankDis,BORO_Bronx,BORO_Brooklyn,BORO_Manhattan,BORO_Queens,BORO_Staten Island,RESULT,Pop,White,Black,Hispanic,Native,Asian,Inc,Unemp
0,30112340,2.801388888888889,2.9132402866842697,3.0,0.226460342230408,4.392523296730232,0.0,1.0,0.0,0.0,0.0,0.0,2501.0,12.2,63.2,18.4,2.4,1.6,35028.0,11.5
1,30191841,2.831124894276854,2.8146341463414632,3.0,0.0046137887521274,1.1200301491458948,0.0,0.0,1.0,0.0,0.0,0.0,5195.0,72.9,3.6,8.4,0.0,12.3,141678.0,4.7
2,40356018,2.8688946015424164,2.834724483081079,3.0,0.3153592367988289,9.367778432712509,0.0,1.0,0.0,0.0,0.0,0.0,2185.0,38.0,2.2,40.8,0.0,19.1,20040.0,12.2
3,40356731,2.7710280373831773,2.896148555708391,3.0,0.787234623653054,6.038143766516729,0.0,1.0,0.0,0.0,0.0,0.0,3627.0,2.6,81.3,12.5,0.0,3.6,19842.0,6.8
4,40357217,2.7442455242966752,2.834724483081079,3.0,0.1582583485591778,6.767918751130529,1.0,0.0,0.0,0.0,0.0,0.0,8433.0,5.1,22.8,70.8,0.0,0.0,12999.0,17.4
5,40359480,2.8232662192393736,2.834724483081079,3.0,0.0043495393702783,1.0097508451037742,0.0,0.0,1.0,0.0,0.0,0.0,3126.0,94.1,0.0,3.5,0.0,2.4,194691.0,0.8
6,40359705,2.8688946015424164,2.9615384615384617,3.0,0.4341846605686786,9.669877218573472,0.0,1.0,0.0,0.0,0.0,0.0,2185.0,38.0,2.2,40.8,0.0,19.1,20040.0,12.2
7,40360076,2.681212121212121,2.896148555708391,3.0,0.0589494985280834,5.173334478316145,0.0,1.0,0.0,0.0,0.0,0.0,5574.0,51.2,11.4,13.4,0.0,20.8,25848.0,8.6
8,40361998,2.845360824742268,2.770758620689655,3.0,0.2962772763535938,0.842774957792174,0.0,0.0,0.0,1.0,0.0,0.0,1646.0,29.5,2.2,53.8,0.0,12.8,18917.0,20.9
9,40362264,2.694304253785148,2.834724483081079,3.0,0.0309770866242988,2.67226830502502,0.0,0.0,1.0,0.0,0.0,0.0,9008.0,57.6,17.1,14.5,0.0,7.7,65581.0,13.6
10,40362274,2.802474591250552,2.834724483081079,3.0,0.0639223959263309,1.1217063248762589,0.0,0.0,1.0,0.0,0.0,0.0,4747.0,72.8,2.5,0.9,0.4,17.0,70297.0,3.6
11,40362869,2.6666666666666665,2.6260712674785744,3.0,0.712911859922422,6.263251575159615,0.0,1.0,0.0,0.0,0.0,0.0,2203.0,0.5,90.7,8.0,0.0,0.7,22704.0,19.7
12,40363098,2.8570119156736937,2.9737774627923463,3.0,0.0110407416767025,1.8465419377043328,0.0,1.0,0.0,0.0,0.0,0.0,4162.0,68.9,5.0,7.7,0.0,12.8,86132.0,5.1
13,40363298,2.8180542563143125,2.834724483081079,3.0,0.0567949695405033,0.9824641498488896,0.0,0.0,1.0,0.0,0.0,0.0,3035.0,40.5,9.9,23.5,0.0,23.0,80989.0,7.7
14,40363427,2.869212962962963,2.770758620689655,3.0,2.37370929671516,10.046504409560349,0.0,0.0,0.0,0.0,1.0,0.0,5199.0,68.8,5.1,11.3,0.0,9.7,32354.0,8.0
15,40363630,2.791741472172352,2.971291866028708,3.0,0.0415752052883497,1.67597215043542,0.0,0.0,1.0,0.0,0.0,0.0,13162.0,82.9,1.3,6.8,0.0,7.5,91351.0,5.3
16,40363834,2.851694915254237,2.8961485557083906,3.0,1.9800150623509067,8.710113994352463,0.0,0.0,0.0,0.0,1.0,0.0,3217.0,59.3,8.6,22.1,0.0,9.2,23240.0,13.6
17,40363945,2.881025641025641,2.7798186201354604,3.0,0.0157049365810583,1.7155376989395184,0.0,0.0,1.0,0.0,0.0,0.0,9120.0,83.4,2.5,6.2,0.0,6.4,105968.0,1.3
18,40364179,2.694304253785148,2.770718232044199,3.0,0.0957684551910772,3.3254163152606107,0.0,0.0,1.0,0.0,0.0,0.0,9327.0,34.8,11.2,44.7,0.0,7.1,28090.0,12.0
19,40364296,2.658650116369278,2.714226260664493,1.0,0.7290801677109618,7.467553425929525,1.0,0.0,0.0,0.0,0.0,0.0,5168.0,1.5,17.3,71.7,0.0,6.6,12105.0,18.1
20,40364305,2.820864790665752,2.7798186201354604,3.0,0.3000156612240351,7.065934563894598,0.0,1.0,0.0,0.0,0.0,1.0,2560.0,62.5,2.7,12.2,0.0,20.5,39457.0,5.9
21,40364335,2.805080352514256,2.9373881932021466,3.0,0.378996854891812,2.6353730756974114,0.0,1.0,0.0,0.0,0.0,0.0,5670.0,33.0,1.2,56.1,0.5,6.4,28717.0,4.3
22,40364347,2.7959025898724392,2.834724483081079,3.0,0.009344169404512,0.7426238214251111,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,40.0,40.0,0.0,0.0,2980.0,100.0
23,40364362,2.831124894276854,2.834724483081079,3.0,0.0335433921944533,0.5317286229368029,0.0,0.0,1.0,0.0,0.0,0.0,982.0,72.8,2.2,7.1,0.0,17.8,118143.0,6.2
24,40364373,2.8232662192393736,2.804656538969617,3.0,0.0218758040854882,0.6838319258896705,0.0,0.0,1.0,0.0,0.0,0.0,2345.0,84.8,0.5,3.9,0.0,10.1,140227.0,5.7
25,40364389,2.77466433158202,2.834724483081079,3.0,0.0070609555226719,1.4625721581403035,0.0,0.0,1.0,0.0,0.0,0.0,4998.0,78.2,0.0,6.8,0.0,14.3,106434.0,10.4
26,40364439,2.784405824330672,2.6753664640686448,2.0,0.1415014004595158,1.532628647768994,0.0,0.0,1.0,0.0,0.0,0.0,6115.0,78.9,1.5,2.7,1.9,12.9,112005.0,4.3
27,40364443,2.7971556886227544,2.834724483081079,3.0,0.1472925169444084,0.5738672685793501,0.0,0.0,1.0,0.0,0.0,0.0,7897.0,34.8,1.0,5.9,0.4,55.1,53593.0,5.8
28,40364449,2.809284818067754,2.854922279792746,3.0,1.7997576397289792,3.690476202008712,0.0,0.0,0.0,1.0,0.0,0.0,4192.0,65.6,2.9,26.2,0.0,4.8,24903.0,9.7
29,40364467,2.831124894276854,2.834724483081079,3.0,0.0004681162101571,0.9427616926534292,0.0,0.0,1.0,0.0,0.0,0.0,792.0,85.0,0.8,3.8,0.9,8.7,157551.0,2.1
30,40364518,2.805732484076433,2.834724483081079,3.0,0.2240358881846182,1.7852600940674757,0.0,0.0,1.0,0.0,0.0,0.0,4266.0,45.9,3.5,21.7,0.9,16.8,49294.0,2.8
