,BIN,BOROUGH,ZIP,STREET_NAME,BLOCK,LOT,CONFIRMATION_NUM,REPORTING_YEAR,MEET_STANDARDS,LATITUDE,LONGITUDE,CENSUS_TRACT,BBL
1,1016304,MANHATTAN,10010,EAST   22 STREET,851,7501,WTI8783182050,2020,Y,40.740426,-73.988976,56.0,1008517501.0
3,1040000,MANHATTAN,10022,EAST   57 STREET,1350,11,WTI8478181168,2018,Y,40.758817,-73.964106,108.0,1013500011.0
7,1051247,MANHATTAN,10028,EAST   86 STREET,1582,31,WTI1690345365,2016,Y,40.775259,-73.94556,14401.0,1015820031.0
9,1017361,MANHATTAN,10016,PARK AVENUE,868,7502,WTI5052392272,2017,Y,40.750067,-73.979179,82.0,1008687502.0
10,4045971,QUEENS,11373,56 AVENUE,1857,38,WTI4263888329,2016,Y,40.736098,-73.871739,457.0,4018570038.0
12,1046830,MANHATTAN,10028,EAST   86 STREET,1497,9,WTI9307629272,2020,Y,40.7813,-73.959901,15001.0,1014970009.0
17,1034510,MANHATTAN,10119,AVENUE OF THE AMERICAS,1267,1,WTI3534365489,2018,Y,40.760857,-73.979717,104.0,1012670001.0
18,1014402,MANHATTAN,10122,WEST   34 STREET,784,19,WTI8704535650,2017,Y,40.751483,-73.991764,109.0,1007840019.0
20,1000021,MANHATTAN,10004,BATTERY PARK PLAZA,9,29,WTI7959087026,2020,Y,40.703218,-74.014412,9.0,1000090029.0
21,1036186,MANHATTAN,10017,PARK AVENUE,1300,14,WTI0322412771,2019,Y,40.753904,-73.975514,92.0,1013007501.0
22,1057091,MANHATTAN,10025,WEST END AVENUE,1888,7503,WTI4469500469,2020,Y,40.797684,-73.971446,187.0,1018887503.0
31,1083348,MANHATTAN,10038,BEEKMAN STREET,94,1,WTI8626728696,2020,Y,40.708439,-74.003704,1501.0,1000940001.0
32,1020567,MANHATTAN,10010,2 AVENUE,927,55,WTI9117014789,2020,Y,40.737124,-73.981449,64.0,1009270055.0
34,2092444,BRONX,10468,WEST MOSHOLU PARKWAY SOUTH,3251,490,WTI3275225634,2020,Y,40.880209,-73.885897,409.0,2032510490.0
36,1078979,MANHATTAN,10004,BROADWAY,22,17,WTI4742695419,2017,Y,40.706045,-74.013096,9.0,1000220017.0
38,1013585,MANHATTAN,10018,WEST   36 STREET,759,72,WTI9534822427,2018,Y,40.75417,-73.994167,111.0,1007590072.0
41,1077407,MANHATTAN,10038,PARK ROW,117,1,WTI7132203722,2018,Y,40.713141,-74.000115,27.0,1001170001.0
42,1087755,MANHATTAN,10038,WILLIAM STREET,68,7502,WTI3201475473,2019,Y,40.708184,-74.007787,1502.0,1000687502.0
45,1015649,MANHATTAN,10001,BROADWAY,828,33,WTI3936625686,2020,Y,40.743907,-73.988979,58.0,1008280033.0
47,1035255,MANHATTAN,10019,CENTRAL PARK SOUTH,1274,57,WTI6313040947,2017,Y,40.764959,-73.974579,11201.0,1012740057.0
51,1015291,MANHATTAN,10011,5 AVENUE,816,37,WTI3346387678,2020,Y,40.736354,-73.993379,54.0,1008160037.0
53,1057181,MANHATTAN,10025,WEST END AVENUE,1890,15,WTI1878933097,2017,Y,40.79927,-73.970293,191.0,1018900015.0
56,1022547,MANHATTAN,10016,1 AVENUE,969,1,WTI7618563470,2016,Y,40.745817,-73.972016,8601.0,1009690001.0
57,1015475,MANHATTAN,10011,5 AVENUE,821,38,WTI6170541510,2016,Y,40.739178,-73.991321,54.0,1008210038.0
59,1040805,MANHATTAN,10065,Park Ave,1375,36,WTI0512343414,2020,Y,40.763786,-73.969175,11401.0,1013750036.0
60,1083120,MANHATTAN,10016,EAST   30 STREET,936,7501,WTI6941638432,2020,Y,40.741734,-73.976403,70.0,1009367501.0
64,1041475,MANHATTAN,10021,EAST   73 STREET,1387,56,WTI6176524803,2020,Y,40.77259,-73.965261,130.0,1013870056.0
66,1081220,MANHATTAN,10065,EAST   67 STREET,1422,5,WTI6667902226,2017,Y,40.766397,-73.962524,118.0,1014220005.0
69,1079987,MANHATTAN,10033,CABRINI BOULEVARD,2179,10,WTI2401829030,2017,Y,40.853008,-73.939688,275.0,1021790010.0
71,1081419,MANHATTAN,10065,Park Ave,1403,1,WTI6877001684,2020,Y,40.768973,-73.965367,120.0,1014030001.0
72,1083800,MANHATTAN,10019,10 AVENUE,1079,29,WTI6167390871,2017,Y,40.765094,-73.991502,135.0,1010799029.0
76,1000580001,MANHATTAN,10007,Greenwich Street,58,1,WTI8392550911,2019,Y,40.71179,-74.012084,13.0,1000580001.0
78,1083026,MANHATTAN,10121,Pennsylvania Plaza,781,2,WTI3031008787,2020,Y,40.750017,-73.991345,101.0,1007810002.0
82,1016920,MANHATTAN,10016,MADISON AVENUE,858,58,WTI5040723268,2018,Y,40.744529,-73.985301,74.0,1008580058.0
84,1039990,MANHATTAN,10022,EAST   57 STREET,1349,41,WTI8318199638,2020,Y,40.758869,-73.964272,108.0,1013490041.0
89,1034244,MANHATTAN,10036,WEST   45 STREET,1261,19,WTI1867309419,2020,Y,40.75595,-73.980747,96.0,1012610019.0
94,1041292,MANHATTAN,10021,EAST   69 STREET,1384,10,WTI3171154721,2018,Y,40.770365,-73.96806,122.0,1013840010.0
95,1016920,MANHATTAN,10016,MADISON AVENUE,858,58,WTI3793001017,2017,Y,40.744529,-73.985301,74.0,1008580058.0
97,4541713,QUEENS,11109,CENTER BOULEVARD,21,20,WTI5942489646,2020,Y,40.748068,-73.95667,1.0,4000210020.0
98,1023166,MANHATTAN,10019,WEST   53 STREET,1006,7501,WTI1897810229,2017,Y,40.762713,-73.981261,131.0,1010067501.0
99,1030444,MANHATTAN,10023,WEST   71 STREET,1163,7501,WTI0766693595,2018,Y,40.778235,-73.982777,159.0,1011637501.0
103,3324663,BROOKLYN,11233,THOMAS S BOYLAND STREET,1434,1,WTI6435697812,2018,Y,40.675797,-73.913754,36501.0,3014340001.0
104,1046628,MANHATTAN,10028,PARK AVENUE,1492,37,WTI8567152348,2016,Y,40.776744,-73.959716,142.0,1014920037.0
105,1031371,MANHATTAN,10024,CENTRAL PARK WEST,1199,36,WTI6139850703,2017,Y,40.785074,-73.969508,169.0,1011990036.0
108,1017192,MANHATTAN,10016,EAST   37 STREET,867,9,WTI1219542740,2019,Y,40.750013,-73.982369,82.0,1008670009.0
113,1033612,MANHATTAN,10025,WEST   92 STREET,1240,24,WTI1349850964,2020,Y,40.791748,-73.972802,179.0,1012400024.0
115,1056548,MANHATTAN,10025,WEST  103 STREET,1874,52,WTI9115204407,2016,Y,40.799234,-73.968877,191.0,1018740052.0
118,1007832,MANHATTAN,10014,CHARLTON STREET,506,27,WTI9325086151,2018,Y,40.72698,-74.003763,37.0,1005060027.0
119,1038901,MANHATTAN,10017,EAST   46 STREET,1339,12,WTI6234976998,2019,Y,40.752011,-73.969462,90.0,1013390012.0
128,1081602,MANHATTAN,10027,WEST  125 STREET,1910,1,WTI9395778143,2016,Y,40.808644,-73.947524,222.0,1019100001.0
129,3196576,BROOKLYN,11224,WEST    5 STREET,7273,25,WTI9302184578,2019,Y,40.577628,-73.97253,354.0,3072730050.0
132,1020178,MANHATTAN,10016,EAST   35 STREET,916,1,WTI2170251397,2018,Y,40.746345,-73.977502,78.0,1009160001.0
135,1014472,MANHATTAN,10018,8 AVENUE,788,8,WTI0018673491,2018,Y,40.755015,-73.991395,113.0,1007880008.0
136,1056982,MANHATTAN,10025,WEST  112 STREET,1883,7502,WTI1689217812,2017,Y,40.804684,-73.963958,199.0,1018837502.0
138,1077855,MANHATTAN,10003,4 AVENUE,558,10,WTI5088666887,2017,Y,40.733213,-73.989926,42.0,1005580010.0
139,1041015,MANHATTAN,10065,5 AVENUE,1378,1,WTI4338301897,2019,Y,40.766946,-73.971044,122.0,1013780001.0
